post_id,media_type,like_count,comments_count,timestamp,caption_length,num_hashtags,reach,saved,shares,total_interactions,follows,profile_visits,profile_activity,views,ig_reels_avg_watch_time,ig_reels_video_view_total_time,days_since_last_post,days_since_first_post,day_of_week,time_of_day,engagement,rolling_avg_engagement_3posts,rolling_avg_reach_3posts,engagement_per_reach_pct,engagement_rank_by_media_type
18055341356588190,IMAGE,21,0,2025-07-03 08:03:31,16.0,0.0,579.0,0.0,1.0,22.0,0.0,10.0,0.0,1432.0,,,17.066018518526107,1170.215277777519,Thursday,Morning,21,43.0,1041.0,3.0,10
17924390040086729,IMAGE,25,3,2025-06-16 06:28:27,47.0,0.0,766.0,1.0,2.0,31.0,1.0,25.0,2.0,1974.0,,,11.791157407220451,1153.149259258993,Monday,Morning,28,43.0,1237.0,3.0,4
17917655700098162,VIDEO,78,2,2025-06-04 11:29:11,17.0,0.0,1777.0,5.0,3.0,92.0,,,,3195.0,8818.0,17981036.0,5.078437500167638,1141.3581018517723,Wednesday,Morning,80,40.0,1316.0,4.0,2
18109512208443384,IMAGE,18,2,2025-05-30 09:36:14,43.0,0.0,1169.0,5.0,2.0,30.0,6.0,54.0,5.0,2790.0,,,0.0028472221456468,1136.2796643516049,Friday,Morning,20,23.0,1246.0,1.0,11
18114907681473883,IMAGE,17,3,2025-05-30 09:32:08,9.0,0.0,1003.0,0.0,3.0,23.0,4.0,38.0,8.0,2150.0,,,11.089837963227184,1136.2768171294592,Friday,Morning,20,35.0,2128.0,1.0,11
18176836600325450,IMAGE,24,4,2025-05-19 07:22:46,16.0,0.0,1565.0,2.0,6.0,36.0,4.0,62.0,3.0,3168.0,,,16.984629629179835,1125.186979166232,Monday,Morning,28,40.0,2044.0,1.0,4
17976668054839065,VIDEO,58,0,2025-05-02 07:44:54,33.0,0.0,3815.0,10.0,11.0,78.0,,,,6276.0,4084.0,19048924.0,4.300034722313285,1108.2023495370522,Friday,Morning,58,39.0,2017.0,1.0,4
17978602919829685,VIDEO,31,2,2025-04-28 00:32:51,52.0,0.0,753.0,3.0,0.0,37.0,,,,1234.0,13126.0,11630355.0,11.879953703843055,1103.902314814739,Monday,Night,33,25.0,1036.0,4.0,6
17972006636849182,VIDEO,24,2,2025-04-16 03:25:43,45.0,0.0,1483.0,0.0,4.0,30.0,,,,2224.0,3079.0,5374370.0,13.618125000037251,1092.022361110896,Wednesday,Night,26,18.0,1173.0,1.0,9
18088780102606381,IMAGE,11,4,2025-04-02 12:35:37,15.0,0.0,873.0,4.0,2.0,21.0,1.0,20.0,0.0,1584.0,,,15.135902777779847,1078.4042361108586,Wednesday,Afternoon,15,18.0,1233.0,1.0,16
18361789951126376,IMAGE,13,1,2025-03-18 09:19:55,39.0,0.0,1162.0,0.0,3.0,17.0,1.0,33.0,0.0,1947.0,,,6.119918981567025,1063.2683333330788,Tuesday,Morning,14,17.0,1363.0,1.0,18
18074875681780267,IMAGE,21,3,2025-03-12 06:27:14,23.0,1.0,1664.0,2.0,5.0,32.0,2.0,46.0,1.0,2515.0,,,14.95232638856396,1057.1484143515115,Wednesday,Morning,24,17.0,1128.0,1.0,7
18126117205419234,IMAGE,12,1,2025-02-25 07:35:53,20.0,0.0,1264.0,2.0,3.0,18.0,4.0,43.0,2.0,1932.0,,,12.226145833730698,1042.1960879629478,Tuesday,Morning,13,15.0,711.0,1.0,19
18484020880002414,IMAGE,12,1,2025-02-13 02:10:14,28.0,0.0,457.0,1.0,1.0,15.0,0.0,2.0,0.0,865.0,,,32.87749999994412,1029.969942129217,Thursday,Night,13,18.0,553.0,2.0,19
17919562817932428,CAROUSEL_ALBUM,19,0,2025-01-11 05:06:38,622.0,0.0,413.0,2.0,0.0,21.0,1.0,19.0,1.0,941.0,,,14.08129629632458,997.092442129273,Saturday,Night,19,20.0,972.0,4.0,19
18193521847305763,IMAGE,22,1,2024-12-28 03:09:34,7.0,0.0,788.0,3.0,1.0,27.0,1.0,27.0,1.0,1317.0,,,26.93872685171664,983.0111458329484,Saturday,Night,23,18.0,1024.0,2.0,9
17992567400728045,IMAGE,19,0,2024-12-01 04:37:48,39.0,0.0,1714.0,1.0,3.0,23.0,0.0,3.0,0.0,2563.0,,,22.775405092630532,956.0724189812316,Sunday,Night,19,15.0,872.0,1.0,13
18065771359662670,VIDEO,12,0,2024-11-08 10:01:13,658.0,0.0,571.0,1.0,1.0,14.0,,,,893.0,4287.0,2902455.0,8.120624999981374,933.2970138886012,Friday,Morning,12,13.0,520.0,2.0,16
18028337978154727,CAROUSEL_ALBUM,14,0,2024-10-31 07:07:31,94.0,0.0,331.0,2.0,0.0,16.0,0.0,1.0,0.0,709.0,,,21.821307870093733,925.1763888886198,Thursday,Morning,14,26.0,526.0,4.0,27
18341408275130565,VIDEO,13,0,2024-10-09 11:24:50,503.0,0.0,658.0,0.0,1.0,14.0,,,,894.0,4705.0,2898504.0,0.9449074077419936,903.355081018526,Wednesday,Morning,13,28.0,659.0,1.0,15
18185482939306736,VIDEO,51,0,2024-10-08 12:44:10,269.0,0.0,589.0,3.0,1.0,55.0,,,,1167.0,10639.0,7947541.0,6.038333333097398,902.410173610784,Tuesday,Afternoon,51,28.0,548.0,8.0,5
17934283028809908,CAROUSEL_ALBUM,20,0,2024-10-02 11:48:58,247.0,0.0,731.0,0.0,4.0,24.0,0.0,0.0,0.0,1274.0,,,27.31643518526107,896.3718402776867,Wednesday,Morning,20,16.0,463.0,2.0,17
18028116980359830,CAROUSEL_ALBUM,12,0,2024-09-05 04:13:18,22.0,0.0,323.0,0.0,1.0,13.0,0.0,1.0,0.0,641.0,,,0.0026736110448837,869.0554050924256,Thursday,Night,12,13.0,305.0,3.0,36
18028419083255254,VIDEO,15,0,2024-09-05 04:09:27,249.0,0.0,336.0,1.0,0.0,16.0,,,,567.0,4761.0,1785540.0,5.263854166958481,869.0527314813808,Thursday,Night,15,12.0,333.0,4.0,14
17857450113239680,IMAGE,9,3,2024-08-30 21:49:30,352.0,0.0,256.0,1.0,0.0,13.0,0.0,0.0,0.0,514.0,,,22.60678240703419,863.7888773144223,Friday,Night,12,31.0,491.0,4.0,21
17998184792652972,IMAGE,8,0,2024-08-08 07:15:44,19.0,0.0,407.0,1.0,2.0,11.0,0.0,0.0,0.0,737.0,,,0.6865972224622965,841.1820949073881,Thursday,Morning,8,30.0,491.0,1.0,27
17992499288672848,VIDEO,68,5,2024-08-07 14:47:02,67.0,0.0,811.0,2.0,5.0,80.0,,,,1712.0,12394.0,14873336.0,19.421712962910533,840.4954976849258,Wednesday,Afternoon,73,32.0,510.0,9.0,3
18193716862291134,IMAGE,10,0,2024-07-19 04:39:46,14.0,0.0,255.0,0.0,0.0,10.0,0.0,0.0,0.0,441.0,,,8.983101851772517,821.0737847220153,Friday,Night,10,10.0,377.0,3.0,24
18024566663330042,IMAGE,12,0,2024-07-10 05:04:06,33.0,0.0,464.0,5.0,2.0,19.0,0.0,0.0,0.0,763.0,,,12.716296296566725,812.0906828702427,Wednesday,Night,12,15.0,515.0,2.0,21
18346701052116937,IMAGE,7,0,2024-06-27 11:52:38,23.0,0.0,412.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,,,11.117118055466564,799.374386573676,Thursday,Morning,7,25.0,516.0,1.0,28
18042891322846135,VIDEO,25,1,2024-06-16 09:03:59,31.0,0.0,669.0,0.0,2.0,28.0,,,,1079.0,11451.0,8165236.0,2.072222222108394,788.2572685182095,Sunday,Morning,26,35.0,527.0,3.0,9
